"Runs","Mins","BF","X4s","X6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start.Date","name"
73,289,229,4,0,31.87,"6","caught","1","India","Nagpur","13 Dec 2012","Root"
20,64,56,1,1,35.71,"6","not out","3","India","Nagpur","13 Dec 2012","Root"
4,17,11,1,0,36.36,"6","caught","1","New Zealand","Dunedin","6 Mar 2013","Root"
0,4,2,0,0,0,"7","run out","3","New Zealand","Dunedin","6 Mar 2013","Root"
10,24,20,1,0,50,"6","caught","1","New Zealand","Wellington","14 Mar 2013","Root"
45,254,176,4,0,25.56,"5","bowled","2","New Zealand","Auckland","22 Mar 2013","Root"
29,107,79,2,0,36.7,"6","lbw","4","New Zealand","Auckland","22 Mar 2013","Root"
40,180,114,4,0,35.08,"5","caught","1","New Zealand","Lord's","16 May 2013","Root"
71,178,120,8,0,59.16,"4","bowled","3","New Zealand","Lord's","16 May 2013","Root"
104,236,167,9,0,62.27,"5","caught","1","New Zealand","Leeds","24 May 2013","Root"
28,32,22,4,0,127.27,"5","caught","3","New Zealand","Leeds","24 May 2013","Root"
30,99,64,6,0,46.87,"2","bowled","1","Australia","Nottingham","10 Jul 2013","Root"
5,34,31,1,0,16.12,"2","caught","3","Australia","Nottingham","10 Jul 2013","Root"
6,28,14,1,0,42.85,"2","lbw","1","Australia","Lord's","18 Jul 2013","Root"
180,466,338,18,2,53.25,"2","caught","3","Australia","Lord's","18 Jul 2013","Root"
8,97,57,1,0,14.03,"2","caught","2","Australia","Manchester","1 Aug 2013","Root"
13,95,57,1,0,22.8,"2","not out","4","Australia","Manchester","1 Aug 2013","Root"
16,78,52,1,0,30.76,"2","caught","1","Australia","Chester-le-Street","9 Aug 2013","Root"
2,35,19,0,0,10.52,"2","bowled","3","Australia","Chester-le-Street","9 Aug 2013","Root"
68,234,184,11,0,36.95,"2","caught","2","Australia","The Oval","21 Aug 2013","Root"
11,20,17,2,0,64.7,"2","caught","4","Australia","The Oval","21 Aug 2013","Root"
2,14,7,0,0,28.57,"6","caught","2","Australia","Brisbane","21 Nov 2013","Root"
26,121,86,4,0,30.23,"6","not out","4","Australia","Brisbane","21 Nov 2013","Root"
15,114,80,1,0,18.75,"3","caught","2","Australia","Adelaide","5 Dec 2013","Root"
87,269,194,9,0,44.84,"3","caught","4","Australia","Adelaide","5 Dec 2013","Root"
4,23,16,1,0,25,"3","caught","2","Australia","Perth","13 Dec 2013","Root"
19,125,88,1,0,21.59,"3","caught","4","Australia","Perth","13 Dec 2013","Root"
24,116,82,2,0,29.26,"3","caught","1","Australia","Melbourne","26 Dec 2013","Root"
15,37,24,1,0,62.5,"3","run out","3","Australia","Melbourne","26 Dec 2013","Root"
200,500,298,16,0,67.11,"5","not out","1","Sri Lanka","Lord's","12 Jun 2014","Root"
15,32,18,2,0,83.33,"5","lbw","3","Sri Lanka","Lord's","12 Jun 2014","Root"
13,48,32,2,0,40.62,"5","caught","2","Sri Lanka","Leeds","20 Jun 2014","Root"
31,161,108,4,0,28.7,"5","caught","4","Sri Lanka","Leeds","20 Jun 2014","Root"
154,400,295,15,0,52.2,"5","not out","2","India","Nottingham","9 Jul 2014","Root"
13,66,50,0,0,26,"5","lbw","2","India","Lord's","17 Jul 2014","Root"
