STATISTIC,STATISTIC Label,TLIST(A1),Year,C02617V03175,Type of Journey,UNIT,VALUE
TCA01,Passenger Journeys by Rail (Thousand),1981,1981,-,All journeys,Number,15374
TCA01,Passenger Journeys by Rail (Thousand),1981,1981,1,Mainline and other services,Number,7379
TCA01,Passenger Journeys by Rail (Thousand),1981,1981,2,Dublin suburban services,Number,7995
TCA01,Passenger Journeys by Rail (Thousand),1981,1981,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1981,1981,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1982,1982,-,All journeys,Number,12813
TCA01,Passenger Journeys by Rail (Thousand),1982,1982,1,Mainline and other services,Number,6677
TCA01,Passenger Journeys by Rail (Thousand),1982,1982,2,Dublin suburban services,Number,6136
TCA01,Passenger Journeys by Rail (Thousand),1982,1982,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1982,1982,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1983,1983,-,All journeys,Number,13027
TCA01,Passenger Journeys by Rail (Thousand),1983,1983,1,Mainline and other services,Number,6523
TCA01,Passenger Journeys by Rail (Thousand),1983,1983,2,Dublin suburban services,Number,6504
TCA01,Passenger Journeys by Rail (Thousand),1983,1983,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1983,1983,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1984,1984,-,All journeys,Number,15560
TCA01,Passenger Journeys by Rail (Thousand),1984,1984,1,Mainline and other services,Number,6795
TCA01,Passenger Journeys by Rail (Thousand),1984,1984,2,Dublin suburban services,Number,8765
TCA01,Passenger Journeys by Rail (Thousand),1984,1984,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1984,1984,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1985,1985,-,All journeys,Number,20090
TCA01,Passenger Journeys by Rail (Thousand),1985,1985,1,Mainline and other services,Number,6730
TCA01,Passenger Journeys by Rail (Thousand),1985,1985,2,Dublin suburban services,Number,13360
TCA01,Passenger Journeys by Rail (Thousand),1985,1985,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1985,1985,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1986,1986,-,All journeys,Number,21735
TCA01,Passenger Journeys by Rail (Thousand),1986,1986,1,Mainline and other services,Number,6974
TCA01,Passenger Journeys by Rail (Thousand),1986,1986,2,Dublin suburban services,Number,14761
TCA01,Passenger Journeys by Rail (Thousand),1986,1986,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1986,1986,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1987,1987,-,All journeys,Number,24895
TCA01,Passenger Journeys by Rail (Thousand),1987,1987,1,Mainline and other services,Number,7535
TCA01,Passenger Journeys by Rail (Thousand),1987,1987,2,Dublin suburban services,Number,17360
TCA01,Passenger Journeys by Rail (Thousand),1987,1987,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1987,1987,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1988,1988,-,All journeys,Number,25485
TCA01,Passenger Journeys by Rail (Thousand),1988,1988,1,Mainline and other services,Number,7343
TCA01,Passenger Journeys by Rail (Thousand),1988,1988,2,Dublin suburban services,Number,18142
TCA01,Passenger Journeys by Rail (Thousand),1988,1988,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1988,1988,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1989,1989,-,All journeys,Number,26309
TCA01,Passenger Journeys by Rail (Thousand),1989,1989,1,Mainline and other services,Number,7583
TCA01,Passenger Journeys by Rail (Thousand),1989,1989,2,Dublin suburban services,Number,18726
TCA01,Passenger Journeys by Rail (Thousand),1989,1989,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1989,1989,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1990,1990,-,All journeys,Number,26767
TCA01,Passenger Journeys by Rail (Thousand),1990,1990,1,Mainline and other services,Number,7787
TCA01,Passenger Journeys by Rail (Thousand),1990,1990,2,Dublin suburban services,Number,18980
TCA01,Passenger Journeys by Rail (Thousand),1990,1990,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1990,1990,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1991,1991,-,All journeys,Number,26837
TCA01,Passenger Journeys by Rail (Thousand),1991,1991,1,Mainline and other services,Number,7742
TCA01,Passenger Journeys by Rail (Thousand),1991,1991,2,Dublin suburban services,Number,19095
TCA01,Passenger Journeys by Rail (Thousand),1991,1991,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1991,1991,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1992,1992,-,All journeys,Number,25837
TCA01,Passenger Journeys by Rail (Thousand),1992,1992,1,Mainline and other services,Number,7630
TCA01,Passenger Journeys by Rail (Thousand),1992,1992,2,Dublin suburban services,Number,18207
TCA01,Passenger Journeys by Rail (Thousand),1992,1992,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1992,1992,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1993,1993,-,All journeys,Number,26143
TCA01,Passenger Journeys by Rail (Thousand),1993,1993,1,Mainline and other services,Number,7903
TCA01,Passenger Journeys by Rail (Thousand),1993,1993,2,Dublin suburban services,Number,18240
TCA01,Passenger Journeys by Rail (Thousand),1993,1993,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1993,1993,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1994,1994,-,All journeys,Number,25813
TCA01,Passenger Journeys by Rail (Thousand),1994,1994,1,Mainline and other services,Number,7850
TCA01,Passenger Journeys by Rail (Thousand),1994,1994,2,Dublin suburban services,Number,17963
TCA01,Passenger Journeys by Rail (Thousand),1994,1994,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1994,1994,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1995,1995,-,All journeys,Number,27124
TCA01,Passenger Journeys by Rail (Thousand),1995,1995,1,Mainline and other services,Number,8312
TCA01,Passenger Journeys by Rail (Thousand),1995,1995,2,Dublin suburban services,Number,18812
TCA01,Passenger Journeys by Rail (Thousand),1995,1995,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1995,1995,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1996,1996,-,All journeys,Number,27930
TCA01,Passenger Journeys by Rail (Thousand),1996,1996,1,Mainline and other services,Number,8393
TCA01,Passenger Journeys by Rail (Thousand),1996,1996,2,Dublin suburban services,Number,19537
TCA01,Passenger Journeys by Rail (Thousand),1996,1996,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1996,1996,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1997,1997,-,All journeys,Number,29467
TCA01,Passenger Journeys by Rail (Thousand),1997,1997,1,Mainline and other services,Number,8906
TCA01,Passenger Journeys by Rail (Thousand),1997,1997,2,Dublin suburban services,Number,20561
TCA01,Passenger Journeys by Rail (Thousand),1997,1997,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1997,1997,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1998,1998,-,All journeys,Number,32146
TCA01,Passenger Journeys by Rail (Thousand),1998,1998,1,Mainline and other services,Number,9831
TCA01,Passenger Journeys by Rail (Thousand),1998,1998,2,Dublin suburban services,Number,22315
TCA01,Passenger Journeys by Rail (Thousand),1998,1998,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1998,1998,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),1999,1999,-,All journeys,Number,32765
TCA01,Passenger Journeys by Rail (Thousand),1999,1999,1,Mainline and other services,Number,10219
TCA01,Passenger Journeys by Rail (Thousand),1999,1999,2,Dublin suburban services,Number,22546
TCA01,Passenger Journeys by Rail (Thousand),1999,1999,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),1999,1999,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),2000,2000,-,All journeys,Number,31721
TCA01,Passenger Journeys by Rail (Thousand),2000,2000,1,Mainline and other services,Number,9695
TCA01,Passenger Journeys by Rail (Thousand),2000,2000,2,Dublin suburban services,Number,22026
TCA01,Passenger Journeys by Rail (Thousand),2000,2000,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),2000,2000,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),2001,2001,-,All journeys,Number,34206
TCA01,Passenger Journeys by Rail (Thousand),2001,2001,1,Mainline and other services,Number,10833
TCA01,Passenger Journeys by Rail (Thousand),2001,2001,2,Dublin suburban services,Number,23373
TCA01,Passenger Journeys by Rail (Thousand),2001,2001,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),2001,2001,4,International journeys,Number,
TCA01,Passenger Journeys by Rail (Thousand),2002,2002,-,All journeys,Number,35370
TCA01,Passenger Journeys by Rail (Thousand),2002,2002,1,Mainline and other services,Number,10438
TCA01,Passenger Journeys by Rail (Thousand),2002,2002,2,Dublin suburban services,Number,24120
TCA01,Passenger Journeys by Rail (Thousand),2002,2002,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),2002,2002,4,International journeys,Number,812
TCA01,Passenger Journeys by Rail (Thousand),2003,2003,-,All journeys,Number,35558
TCA01,Passenger Journeys by Rail (Thousand),2003,2003,1,Mainline and other services,Number,10406
TCA01,Passenger Journeys by Rail (Thousand),2003,2003,2,Dublin suburban services,Number,24302
TCA01,Passenger Journeys by Rail (Thousand),2003,2003,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),2003,2003,4,International journeys,Number,850
TCA01,Passenger Journeys by Rail (Thousand),2004,2004,-,All journeys,Number,34550
TCA01,Passenger Journeys by Rail (Thousand),2004,2004,1,Mainline and other services,Number,10511
TCA01,Passenger Journeys by Rail (Thousand),2004,2004,2,Dublin suburban services,Number,23240
TCA01,Passenger Journeys by Rail (Thousand),2004,2004,3,DART,Number,
TCA01,Passenger Journeys by Rail (Thousand),2004,2004,4,International journeys,Number,799
TCA01,Passenger Journeys by Rail (Thousand),2005,2005,-,All journeys,Number,37655
TCA01,Passenger Journeys by Rail (Thousand),2005,2005,1,Mainline and other services,Number,11068
TCA01,Passenger Journeys by Rail (Thousand),2005,2005,2,Dublin suburban services,Number,9556
TCA01,Passenger Journeys by Rail (Thousand),2005,2005,3,DART,Number,16256
TCA01,Passenger Journeys by Rail (Thousand),2005,2005,4,International journeys,Number,775
TCA01,Passenger Journeys by Rail (Thousand),2006,2006,-,All journeys,Number,43352
TCA01,Passenger Journeys by Rail (Thousand),2006,2006,1,Mainline and other services,Number,8917
TCA01,Passenger Journeys by Rail (Thousand),2006,2006,2,Dublin suburban services,Number,13862
TCA01,Passenger Journeys by Rail (Thousand),2006,2006,3,DART,Number,19689
TCA01,Passenger Journeys by Rail (Thousand),2006,2006,4,International journeys,Number,884
TCA01,Passenger Journeys by Rail (Thousand),2007,2007,-,All journeys,Number,45511
TCA01,Passenger Journeys by Rail (Thousand),2007,2007,1,Mainline and other services,Number,10537
TCA01,Passenger Journeys by Rail (Thousand),2007,2007,2,Dublin suburban services,Number,13880
TCA01,Passenger Journeys by Rail (Thousand),2007,2007,3,DART,Number,20244
TCA01,Passenger Journeys by Rail (Thousand),2007,2007,4,International journeys,Number,850
TCA01,Passenger Journeys by Rail (Thousand),2008,2008,-,All journeys,Number,44647
TCA01,Passenger Journeys by Rail (Thousand),2008,2008,1,Mainline and other services,Number,10324
TCA01,Passenger Journeys by Rail (Thousand),2008,2008,2,Dublin suburban services,Number,13645
TCA01,Passenger Journeys by Rail (Thousand),2008,2008,3,DART,Number,19865
TCA01,Passenger Journeys by Rail (Thousand),2008,2008,4,International journeys,Number,813
TCA01,Passenger Journeys by Rail (Thousand),2009,2009,-,All journeys,Number,38812
TCA01,Passenger Journeys by Rail (Thousand),2009,2009,1,Mainline and other services,Number,8877
TCA01,Passenger Journeys by Rail (Thousand),2009,2009,2,Dublin suburban services,Number,11768
TCA01,Passenger Journeys by Rail (Thousand),2009,2009,3,DART,Number,17520
TCA01,Passenger Journeys by Rail (Thousand),2009,2009,4,International journeys,Number,647
TCA01,Passenger Journeys by Rail (Thousand),2010,2010,-,All journeys,Number,38070
TCA01,Passenger Journeys by Rail (Thousand),2010,2010,1,Mainline and other services,Number,9697
TCA01,Passenger Journeys by Rail (Thousand),2010,2010,2,Dublin suburban services,Number,10861
TCA01,Passenger Journeys by Rail (Thousand),2010,2010,3,DART,Number,16793
TCA01,Passenger Journeys by Rail (Thousand),2010,2010,4,International journeys,Number,719
TCA01,Passenger Journeys by Rail (Thousand),2011,2011,-,All journeys,Number,37222
TCA01,Passenger Journeys by Rail (Thousand),2011,2011,1,Mainline and other services,Number,10656
TCA01,Passenger Journeys by Rail (Thousand),2011,2011,2,Dublin suburban services,Number,9911
TCA01,Passenger Journeys by Rail (Thousand),2011,2011,3,DART,Number,15924
TCA01,Passenger Journeys by Rail (Thousand),2011,2011,4,International journeys,Number,731
TCA01,Passenger Journeys by Rail (Thousand),2012,2012,-,All journeys,Number,36740
TCA01,Passenger Journeys by Rail (Thousand),2012,2012,1,Mainline and other services,Number,8189
