"ages","list_price","piece_count","prod_id","review_difficulty","set_name","play_star_rating","star_rating","val_star_rating","theme_name","country"
"6-12",29.99,277,75823,"Average","Bird Island Egg Heist",4,4.5,4,"Angry Birds","US"
"6-12",19.99,168,75822,"Easy","Piggy Plane Attack",4,5,4,"Angry Birds","US"
"6-12",12.99,74,75821,"Easy","Piggy Car Escape",4.3,4.3,4.1,"Angry Birds","US"
"12+",99.99,1032,21030,"Average","United States Capitol Building",3.6,4.6,4.3,"Architecture","US"
"12+",79.99,744,21035,"Challenging","Solomon R. Guggenheim Museum®",3.2,4.6,4.1,"Architecture","US"
"12+",59.99,597,21039,"Average","Shanghai",3.7,4.9,4.4,"Architecture","US"
"12+",59.99,598,21028,"Average","New York City",3.7,4.2,4.1,"Architecture","US"
"12+",49.99,780,21029,"Average","Buckingham Palace",4.4,4.7,4.3,"Architecture","US"
"12+",39.99,468,21034,"Average","London",3.6,4.7,4.1,"Architecture","US"
"12+",39.99,444,21033,"Average","Chicago",3.6,4.8,4.5,"Architecture","US"
"12+",39.99,386,21036,"Average","Arc de Triomphe",4.1,4.4,3.6,"Architecture","US"
"12+",34.99,321,21019,"Average","The Eiffel Tower",3.2,4.6,4.4,"Architecture","US"
"12+",29.99,361,21032,"Easy","Sydney",4.2,4.6,4.2,"Architecture","US"
"7-12",159.99,847,17101,"Average","BOOST Creative Toolbox",3.8,3.4,3.5,"BOOST","US"
"10+",29.99,708,41597,"Average","Go Brick Me",4.7,4.8,4.8,"BrickHeadz","US"
"10+",19.99,234,41614,"Easy","Owen & Blue",3,5,5,"BrickHeadz","US"
"10+",19.99,160,41613,"Very Easy","Mr. Incredible & Frozone",5,5,5,"BrickHeadz","US"
"10+",9.99,149,41609,"Very Easy","Chewbacca™",2,3,4,"BrickHeadz","US"
"10+",9.99,141,41608,"Very Easy","Han Solo™",2,4,4,"BrickHeadz","US"
"10+",9.99,101,41604,"Average","Iron Man MK50",4,4.7,4.5,"BrickHeadz","US"
"10+",9.99,105,41605,"Easy","Thanos",3,5,5,"BrickHeadz","US"
"10+",9.99,113,41606,"Easy","Star-Lord",5,5,5,"BrickHeadz","US"
"10+",9.99,136,41607,"","Gamora",NA,5,NA,"BrickHeadz","US"
"10+",9.99,91,41485,"Easy","Finn",3,4.5,4,"BrickHeadz","US"
"10+",9.99,140,40270,"Easy","Valentine's Bee",3.2,4.9,4.7,"BrickHeadz","US"
"10+",9.99,143,41599,"Easy","Wonder Woman™",4.6,5,5,"BrickHeadz","US"
"10+",9.99,122,41598,"Very Easy","The Flash™",2.7,4,3,"BrickHeadz","US"
"10+",9.99,130,41603,"Easy","Kylo Ren™",4.3,5,4.8,"BrickHeadz","US"
"10+",9.99,119,41602,"Easy","Rey",4.5,5,4.5,"BrickHeadz","US"
"10+",9.99,135,41600,"Very Easy","Aquaman™",1,4,3,"BrickHeadz","US"
"10+",9.99,108,41601,"Easy","Cyborg™",3.5,5,4,"BrickHeadz","US"
"10+",19.99,240,41611,"Easy","Marty McFly & Doc Brown",3,5,5,"BrickHeadz","US"
"10+",19.99,209,41610,"","Tactical Batman™ & Superman™",NA,NA,NA,"BrickHeadz","US"
"10+",9.99,126,40271,"Easy","Easter Bunny",2,5,4.5,"BrickHeadz","US"
"10+",9.99,102,41487,"Easy","Lloyd",4,5,4.7,"BrickHeadz","US"
"10+",9.99,89,41488,"Very Easy","Master Wu",3.2,4.4,4,"BrickHeadz","US"
"10+",9.99,118,41594,"Very Easy","Captain Armando Salazar",3.3,5,4.7,"BrickHeadz","US"
"10+",9.99,127,41486,"Very Easy","Captain Phasma™",3.5,4.7,4.7,"BrickHeadz","US"
"10+",9.99,91,41585,"Very Easy","Batman™",3.8,4.9,4.7,"BrickHeadz","US"
"10+",9.99,96,41590,"Easy","Iron Man",4,4.9,4.4,"BrickHeadz","US"
"10+",9.99,109,41593,"Easy","Captain Jack Sparrow",3.6,4.8,4.6,"BrickHeadz","US"
"10+",9.99,93,41592,"Easy","The Hulk",3.9,4.6,4.1,"BrickHeadz","US"
"10+",9.99,139,41595,"Easy","Belle",4.2,4.8,4.7,"BrickHeadz","US"
"10+",9.99,116,41596,"Average","Beast",5,5,5,"BrickHeadz","US"
"10+",9.99,151,41588,"Easy","The Joker™",3.3,4.8,4.7,"BrickHeadz","US"
"10+",9.99,143,41591,"Easy","Black Widow",3.5,4.8,4.8,"BrickHeadz","US"
"10+",9.99,101,41587,"Very Easy","Robin™",4.3,4.8,4.9,"BrickHeadz","US"
"10+",9.99,99,41586,"Easy","Batgirl™",3.5,4.3,4.6,"BrickHeadz","US"
"5-12",49.99,387,60175,"","Mountain River Heist",NA,NA,NA,"City","US"
"6-12",199.99,888,60052,"Average","Cargo Train",4.7,4.4,3.8,"City","US"
"6-12",149.99,610,60051,"Average","High-speed Passenger Train",4.4,4.4,4,"City","US"
"8-12",149.99,1250,60162,"Average","Jungle Air Drop Helicopter",5,5,4,"City","US"
"6-12",119.99,792,60167,"Average","Coast Guard Head Quarters",3.3,3.7,3.3,"City","US"
"8-12",119.99,813,60161,"Average","Jungle Exploration Site",4.5,4.3,4,"City","US"
"6-12",99.99,894,60141,"Easy","Police Station",4.2,4.7,4,"City","US"
"7-12",99.99,883,60188,"","Mining Experts Site",5,5,5,"City","US"
"6-12",99.99,919,60110,"Average","Fire Station",4.5,4.6,4.6,"City","US"
